TOPIC,TAXONOMY,CLASSIFICATION,GROUP,SUBGROUP,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,Barrier_Type
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Black only,2021,7.0,6.0,8.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Black only,2022,6.9,5.9,8.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Black only,2023,8.7,7.5,10.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Black only,2024,8.9,7.6,10.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,2021,13.9,6.7,24.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Native Hawaiian or Other Pacific Islander only,2024,14.6,8.0,23.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,White only,2019,8.8,8.3,9.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,White only,2020,7.3,6.9,7.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,White only,2021,7.2,6.7,7.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,White only,2022,6.8,6.4,7.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,White only,2023,7.0,6.6,7.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,White only,2024,8.7,8.2,9.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native and White,2019,14.6,9.3,21.5,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native and White,2020,5.8,2.9,10.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native and White,2021,10.3,5.8,16.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native and White,2022,11.2,6.1,18.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native and White,2023,15.0,9.5,22.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,American Indian and Alaska Native and White,2024,10.3,5.6,17.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Black and White,2019,14.5,7.3,24.8,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Black and White,2021,16.0,9.8,24.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race,Black and White,2024,13.4,7.7,21.2,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",2019,13.2,11.9,14.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, Hispanic",2020,10.8,9.4,12.3,Delayed Care
