Year,Barrier_Type,Demographic_Group,Highest_Subgroup,Highest_Rate,Lowest_Subgroup,Lowest_Rate,Disparity_Gap
2020,No mental health care due to cost,Functioning difficulties status,With functioning difficulties,6.0,Without functioning difficulties,3.0,3.0
2020,No mental health care due to cost,Marital status,Living with a partner,8.4,Widowed,1.8,6.6000000000000005
2020,No mental health care due to cost,Nativity,U.S.-born,4.5,Foreign-born,3.3,1.2000000000000002
2020,No mental health care due to cost,Race,Black only,4.4,Native Hawaiian or Other Pacific Islander only,0.0,4.4
2020,No mental health care due to cost,Race and Hispanic origin,"All races, Hispanic",5.1,"Other races, non-Hispanic",3.0,2.0999999999999996
2020,No mental health care due to cost,Sex,Female,5.8,Male,2.7,3.0999999999999996
2020,No mental health care due to cost,Sexual orientation,Bisexual,24.2,Straight,3.7,20.5
2020,No mental health care due to cost,Veteran status,Non-veteran,4.5,Veteran,1.9,2.6
2020,No mental health care due to cost,Metropolitan statistical area,Small MSA,4.7,Non-MSA,3.4,1.3000000000000003
2020,No mental health care due to cost,Region,West,4.7,Northeast,3.3,1.4000000000000004
2020,No mental health care due to cost,Social vulnerability,Medium social vulnerability,4.8,Little to no social vulnerability,3.5,1.2999999999999998
2020,No mental health care due to cost,Urbanicity,Medium and small metro,4.7,Nonmetropolitan,3.4,1.3000000000000003
2020,No mental health care due to cost,Education,Some college,4.5,No high school diploma or GED,3.3,1.2000000000000002
2020,No mental health care due to cost,Employment status,Employed - Part-time,6.6,Not employed,3.7,2.8999999999999995
2020,No mental health care due to cost,Health insurance coverage: 65 years and older,Medicare and Medicaid,2.7,Uninsured,0.0,2.7
2020,No mental health care due to cost,Health insurance coverage: Younger than 65 years,Uninsured,9.5,Private,4.2,5.3
2020,No mental health care due to cost,Poverty level,<100% FPL,5.8,≥200% FPL,3.7,2.0999999999999996
2020,Skipped medication as prescribed to save money,Age groups with 65 years and older,35-49 years,10.8,65 years and older,4.3,6.500000000000001
2020,Skipped medication as prescribed to save money,Age groups with 75 years and older,18-44 years,10.2,75 years and older,2.7,7.499999999999999
2020,Skipped medication as prescribed to save money,Disability status,With disability,14.7,Without disability,7.4,7.299999999999999
2020,Skipped medication as prescribed to save money,Functioning difficulties status,With functioning difficulties,11.3,Without functioning difficulties,5.3,6.000000000000001
2020,Skipped medication as prescribed to save money,Marital status,Living with a partner,14.0,Widowed,5.8,8.2
2020,Skipped medication as prescribed to save money,Nativity,Foreign-born,8.7,U.S.-born,8.2,0.5
2020,Skipped medication as prescribed to save money,Race,American Indian and Alaska Native and White,14.9,Asian only,5.0,9.9
2020,Skipped medication as prescribed to save money,Race and Hispanic origin,"All races, Hispanic, Mexican",12.9,"White only, non-Hispanic",7.2,5.7
2020,Skipped medication as prescribed to save money,Sex,Female,9.3,Male,7.0,2.3000000000000007
2020,Skipped medication as prescribed to save money,Sexual orientation,Bisexual,22.4,Straight,7.9,14.499999999999998
2020,Skipped medication as prescribed to save money,Veteran status,Non-veteran,8.6,Veteran,5.1,3.5
2020,Skipped medication as prescribed to save money,Metropolitan statistical area,Non-MSA,8.6,Large MSA,8.2,0.40000000000000036
2020,Skipped medication as prescribed to save money,Region,South,9.9,Northeast,6.0,3.9000000000000004
2020,Skipped medication as prescribed to save money,Social vulnerability,Medium social vulnerability,9.6,Little to no social vulnerability,6.5,3.0999999999999996
2020,Skipped medication as prescribed to save money,Urbanicity,Large central metro,8.7,Large fringe metro,7.6,1.0999999999999996
2020,Skipped medication as prescribed to save money,Education,No high school diploma or GED,10.9,College degree or higher,6.0,4.9
2020,Skipped medication as prescribed to save money,Employment status,Employed - Part-time,10.4,Not employed - Has never worked,7.6,2.8000000000000007
2020,Skipped medication as prescribed to save money,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,6.9,Other government coverage,2.0,4.9
2020,Skipped medication as prescribed to save money,Health insurance coverage: Younger than 65 years,Uninsured,30.6,Private,6.8,23.8
2020,Skipped medication as prescribed to save money,Poverty level,100% to <200% FPL,13.9,≥200% FPL,6.3,7.6000000000000005
2021,Delayed getting medical care due to cost,Age groups with 65 years and older,18-34 years,8.7,65 years and older,2.5,6.199999999999999
2021,Delayed getting medical care due to cost,Age groups with 75 years and older,18-44 years,8.5,75 years and older,1.7,6.8
2021,Delayed getting medical care due to cost,Disability status,With disability,12.3,Without disability,6.6,5.700000000000001
2021,Delayed getting medical care due to cost,Functioning difficulties status,With functioning difficulties,10.0,Without functioning difficulties,4.9,5.1
2021,Delayed getting medical care due to cost,Marital status,Living with a partner,12.1,Widowed,4.1,8.0
2021,Delayed getting medical care due to cost,Nativity,U.S.-born,7.2,Foreign-born,6.7,0.5
2021,Delayed getting medical care due to cost,Race,Black and White,16.0,Asian only,3.1,12.9
2021,Delayed getting medical care due to cost,Race and Hispanic origin,"All races, Hispanic",8.7,"Other races, non-Hispanic",5.6,3.0999999999999996
2021,Delayed getting medical care due to cost,Sex,Female,7.9,Male,6.3,1.6000000000000005
2021,Delayed getting medical care due to cost,Sexual orientation,Bisexual,20.2,Straight,6.7,13.5
2021,Delayed getting medical care due to cost,Veteran status,Non-veteran,7.4,Veteran,4.2,3.2
2021,Delayed getting medical care due to cost,Metropolitan statistical area,Non-MSA,9.2,Large MSA,6.4,2.799999999999999
2021,Delayed getting medical care due to cost,Region,South,7.9,Northeast,4.7,3.2
2021,Delayed getting medical care due to cost,Social vulnerability,Medium social vulnerability,7.4,Little to no social vulnerability,6.7,0.7000000000000002
2021,Delayed getting medical care due to cost,Urbanicity,Nonmetropolitan,9.2,Large central metro,6.3,2.8999999999999995
2021,Delayed getting medical care due to cost,Education,No high school diploma or GED,9.0,College degree or higher,5.9,3.0999999999999996
2021,Delayed getting medical care due to cost,Employment status,Employed - Part-time,8.1,Not employed - Has never worked,4.0,4.1
2021,Delayed getting medical care due to cost,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,4.7,Private,1.5,3.2
2021,Delayed getting medical care due to cost,Health insurance coverage: Younger than 65 years,Uninsured,22.2,Medicaid or other state programs,5.4,16.799999999999997
2021,Delayed getting medical care due to cost,Poverty level,<100% FPL,11.0,≥200% FPL,6.0,5.0
2021,No medical care due to cost,Age groups with 65 years and older,35-49 years,7.4,65 years and older,2.2,5.2
2021,No medical care due to cost,Age groups with 75 years and older,45-64 years,7.4,75 years and older,1.4,6.0
2021,No medical care due to cost,Disability status,With disability,11.8,Without disability,5.5,6.300000000000001
2021,No medical care due to cost,Functioning difficulties status,With functioning difficulties,8.8,Without functioning difficulties,4.0,4.800000000000001
2021,No medical care due to cost,Marital status,Living with a partner,10.4,Widowed,4.1,6.300000000000001
2021,No medical care due to cost,Nativity,Foreign-born,6.6,U.S.-born,5.9,0.6999999999999993
2021,No medical care due to cost,Race,Native Hawaiian or Other Pacific Islander only,14.1,Asian only,2.6,11.5
2021,No medical care due to cost,Race and Hispanic origin,"All races, Hispanic, Mexican",8.6,"Other races, non-Hispanic",4.5,4.1
2021,No medical care due to cost,Sex,Female,6.7,Male,5.4,1.2999999999999998
2021,No medical care due to cost,Sexual orientation,Bisexual,17.5,Straight,5.7,11.8
2021,No medical care due to cost,Veteran status,Non-veteran,6.3,Veteran,3.6,2.6999999999999997
2021,No medical care due to cost,Metropolitan statistical area,Non-MSA,7.4,Large MSA,5.7,1.7000000000000002
2021,No medical care due to cost,Region,South,7.2,Northeast,4.1,3.1000000000000005
2021,No medical care due to cost,Social vulnerability,Medium social vulnerability,6.7,Little to no social vulnerability,4.9,1.7999999999999998
2021,No medical care due to cost,Urbanicity,Nonmetropolitan,7.4,Large fringe metro,5.4,2.0
2021,No medical care due to cost,Education,No high school diploma or GED,9.2,College degree or higher,4.4,4.799999999999999
2021,No medical care due to cost,Employment status,Employed - Part-time,6.9,Not employed - Has never worked,2.8,4.1000000000000005
2021,No medical care due to cost,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,3.5,Private,1.2,2.3
2021,No medical care due to cost,Health insurance coverage: Younger than 65 years,Uninsured,20.7,Private,5.2,15.5
2021,No medical care due to cost,Poverty level,<100% FPL,11.2,≥200% FPL,4.8,6.3999999999999995
2021,No mental health care due to cost,Age groups with 65 years and older,18-34 years,8.0,65 years and older,1.0,7.0
2021,No mental health care due to cost,Age groups with 75 years and older,18-44 years,6.8,75 years and older,0.9,5.8999999999999995
2021,No mental health care due to cost,Disability status,With disability,7.3,Without disability,3.9,3.4
2021,No mental health care due to cost,Functioning difficulties status,With functioning difficulties,6.2,Without functioning difficulties,2.7,3.5
2021,No mental health care due to cost,Marital status,Living with a partner,8.5,Widowed,1.4,7.1
2021,No mental health care due to cost,Nativity,U.S.-born,4.6,Foreign-born,2.4,2.1999999999999997
2021,No mental health care due to cost,Race,Black and White,9.9,Asian only,1.7,8.200000000000001
